pair,entry_ts,exit_ts,r
USD_ZAR,2016-01-18 22:00:00,2016-01-19 06:00:00,1.0
USD_PLN,2016-01-19 02:00:00,2016-01-20 14:00:00,-1.0
AUD_USD,2016-01-19 06:00:00,2016-01-20 06:00:00,1.0
USD_CAD,2016-01-19 06:00:00,2016-01-20 02:00:00,1.0
USD_CHF,2016-01-19 06:00:00,2016-01-26 14:00:00,-1.0
CAD_JPY,2016-01-19 06:00:00,2016-01-19 18:00:00,1.0
EUR_CHF,2016-01-19 06:00:00,2016-01-26 14:00:00,-1.0
GBP_CAD,2016-01-19 06:00:00,2016-01-19 14:00:00,-1.0
AUD_CHF,2016-01-19 06:00:00,2016-01-19 22:00:00,1.0
CAD_CHF,2016-01-19 06:00:00,2016-01-19 14:00:00,1.0
AUD_JPY,2016-01-19 06:00:00,2016-01-19 22:00:00,1.0
EUR_CAD,2016-01-19 06:00:00,2016-01-19 18:00:00,1.0
NZD_JPY,2016-01-19 06:00:00,2016-01-19 18:00:00,1.0
USD_JPY,2016-01-19 10:00:00,2016-01-20 06:00:00,1.0
NZD_USD,2016-01-19 10:00:00,2016-01-19 18:00:00,1.0
GBP_USD,2016-01-19 10:00:00,2016-01-22 14:00:00,-1.0
NZD_CHF,2016-01-19 10:00:00,2016-01-19 18:00:00,1.0
GBP_CHF,2016-01-19 10:00:00,2016-01-20 06:00:00,1.0
GBP_NZD,2016-01-19 14:00:00,2016-01-19 18:00:00,1.0
GBP_CAD,2016-01-19 14:00:00,2016-01-21 10:00:00,-1.0
EUR_USD,2016-01-19 14:00:00,2016-01-21 10:00:00,-1.0
NZD_USD,2016-01-19 18:00:00,2016-01-20 22:00:00,-1.0
NZD_CAD,2016-01-19 18:00:00,2016-01-21 14:00:00,1.0
USD_HUF,2016-01-20 06:00:00,2016-01-28 18:00:00,-1.0
USD_ZAR,2016-01-20 06:00:00,2016-01-21 10:00:00,1.0
USD_CZK,2016-01-20 06:00:00,2016-01-21 10:00:00,1.0
GBP_JPY,2016-01-20 06:00:00,2016-01-21 14:00:00,1.0
USD_SEK,2016-01-20 06:00:00,2016-01-21 10:00:00,1.0
EUR_CHF,2016-01-20 06:00:00,2016-01-26 14:00:00,-1.0
EUR_AUD,2016-01-20 06:00:00,2016-01-20 18:00:00,1.0
USD_JPY,2016-01-21 02:00:00,2016-01-21 22:00:00,-1.0
EUR_CHF,2016-01-21 10:00:00,2016-01-26 14:00:00,-1.0
USD_SGD,2016-01-21 14:00:00,2016-01-29 02:00:00,1.0
EUR_JPY,2016-01-21 14:00:00,2016-01-27 10:00:00,1.0
CHF_JPY,2016-01-21 14:00:00,2016-01-29 02:00:00,1.0
GBP_JPY,2016-01-21 14:00:00,2016-01-22 06:00:00,1.0
EUR_CHF,2016-01-21 18:00:00,2016-01-27 10:00:00,-1.0
AUD_CAD,2016-01-22 06:00:00,2016-01-26 14:00:00,1.0
NZD_JPY,2016-01-22 06:00:00,2016-01-25 02:00:00,-1.0
NZD_CHF,2016-01-22 06:00:00,2016-01-22 14:00:00,-1.0
GBP_NZD,2016-01-22 06:00:00,2016-01-28 14:00:00,1.0
GBP_AUD,2016-01-22 06:00:00,2016-01-27 14:00:00,-1.0
NZD_USD,2016-01-22 06:00:00,2016-01-27 18:00:00,1.0
NZD_CAD,2016-01-22 06:00:00,2016-01-27 18:00:00,1.0
AUD_USD,2016-01-22 06:00:00,2016-01-25 22:00:00,1.0
EUR_JPY,2016-01-22 14:00:00,2016-01-27 18:00:00,1.0
NZD_CHF,2016-01-22 14:00:00,2016-01-26 22:00:00,-1.0
EUR_USD,2016-01-24 22:00:00,2016-01-27 18:00:00,1.0
EUR_CAD,2016-01-24 22:00:00,2016-01-25 14:00:00,1.0
CAD_CHF,2016-01-24 22:00:00,2016-01-25 18:00:00,1.0
GBP_CAD,2016-01-24 22:00:00,2016-01-27 14:00:00,-1.0
USD_CHF,2016-01-24 22:00:00,2016-01-29 14:00:00,-1.0
EUR_GBP,2016-01-25 02:00:00,2016-01-26 06:00:00,1.0
USD_NOK,2016-01-25 06:00:00,2016-01-26 14:00:00,-1.0
NZD_JPY,2016-01-25 06:00:00,2016-01-25 22:00:00,1.0
USD_SEK,2016-01-25 06:00:00,2016-01-27 10:00:00,-1.0
GBP_NZD,2016-01-25 06:00:00,2016-01-27 18:00:00,1.0
NZD_USD,2016-01-25 06:00:00,2016-01-25 22:00:00,1.0
NZD_CHF,2016-01-25 06:00:00,2016-01-25 22:00:00,1.0
USD_JPY,2016-01-25 06:00:00,2016-01-29 02:00:00,-1.0
AUD_JPY,2016-01-25 06:00:00,2016-01-26 06:00:00,1.0
CAD_JPY,2016-01-25 06:00:00,2016-01-26 02:00:00,1.0
USD_CHF,2016-01-25 10:00:00,2016-01-29 10:00:00,-1.0
USD_SEK,2016-01-25 14:00:00,2016-02-03 14:00:00,-1.0
USD_CHF,2016-01-25 18:00:00,2016-01-29 10:00:00,-1.0
USD_CHF,2016-01-26 02:00:00,2016-01-29 10:00:00,-1.0
EUR_JPY,2016-01-26 06:00:00,2016-01-27 18:00:00,1.0
AUD_CAD,2016-01-26 06:00:00,2016-02-03 10:00:00,0.9999999999999888
NZD_CAD,2016-01-26 06:00:00,2016-01-27 18:00:00,1.0
EUR_NZD,2016-01-26 06:00:00,2016-01-27 18:00:00,-1.0
GBP_JPY,2016-01-26 06:00:00,2016-01-26 14:00:00,1.0
USD_PLN,2016-01-26 10:00:00,2016-01-26 18:00:00,1.0
EUR_USD,2016-01-26 14:00:00,2016-01-28 14:00:00,1.0
GBP_NZD,2016-01-26 14:00:00,2016-01-27 14:00:00,-1.0
AUD_CAD,2016-01-27 02:00:00,2016-02-05 14:00:00,1.0
USD_CAD,2016-01-27 06:00:00,2016-01-28 14:00:00,-1.0
GBP_CHF,2016-01-27 06:00:00,2016-01-29 02:00:00,-1.0
CAD_CHF,2016-01-27 06:00:00,2016-01-27 18:00:00,-1.0
GBP_USD,2016-01-27 06:00:00,2016-01-29 14:00:00,1.0
NZD_CAD,2016-01-27 14:00:00,2016-01-27 18:00:00,1.0
NZD_USD,2016-01-27 14:00:00,2016-01-27 18:00:00,1.0
USD_CAD,2016-01-27 18:00:00,2016-01-28 14:00:00,-1.0
CAD_CHF,2016-01-27 18:00:00,2016-01-29 02:00:00,-1.0
NZD_CHF,2016-01-27 18:00:00,2016-01-28 14:00:00,-1.0
NZD_JPY,2016-01-27 18:00:00,2016-01-28 10:00:00,-1.0
EUR_CAD,2016-01-27 18:00:00,2016-01-29 14:00:00,-1.0
GBP_JPY,2016-01-28 06:00:00,2016-01-29 02:00:00,1.0
EUR_AUD,2016-01-28 22:00:00,2016-02-02 22:00:00,-1.0
AUD_CAD,2016-01-29 06:00:00,2016-02-03 10:00:00,1.0
AUD_USD,2016-01-29 06:00:00,2016-02-02 22:00:00,1.0
USD_NOK,2016-01-29 06:00:00,2016-02-03 18:00:00,-1.0
GBP_USD,2016-01-29 06:00:00,2016-01-29 14:00:00,1.0
NZD_CHF,2016-01-29 06:00:00,2016-02-03 06:00:00,-1.0
GBP_CHF,2016-01-29 06:00:00,2016-02-03 10:00:00,-1.0
NZD_USD,2016-01-29 06:00:00,2016-02-03 06:00:00,-1.0
AUD_JPY,2016-01-29 06:00:00,2016-02-02 14:00:00,1.0
NZD_CAD,2016-01-29 06:00:00,2016-02-02 22:00:00,-1.0
NZD_JPY,2016-01-29 06:00:00,2016-02-01 18:00:00,-1.0
EUR_GBP,2016-01-29 06:00:00,2016-02-03 10:00:00,-1.0
EUR_CHF,2016-01-29 10:00:00,2016-02-09 06:00:00,1.0
AUD_JPY,2016-01-29 14:00:00,2016-02-02 14:00:00,1.0
NZD_CHF,2016-01-29 14:00:00,2016-02-01 18:00:00,-1.0
EUR_USD,2016-01-31 22:00:00,2016-02-03 10:00:00,1.0
NZD_JPY,2016-01-31 22:00:00,2016-02-01 18:00:00,-1.0
EUR_CAD,2016-01-31 22:00:00,2016-02-01 14:00:00,1.0
USD_CHF,2016-01-31 22:00:00,2016-02-03 14:00:00,1.0
CAD_CHF,2016-01-31 22:00:00,2016-02-02 14:00:00,1.0
AUD_JPY,2016-01-31 22:00:00,2016-02-02 14:00:00,1.0
USD_CAD,2016-01-31 22:00:00,2016-02-03 10:00:00,-1.0
GBP_CAD,2016-01-31 22:00:00,2016-02-01 14:00:00,1.0
CAD_JPY,2016-01-31 22:00:00,2016-02-02 10:00:00,1.0
USD_SGD,2016-02-01 02:00:00,2016-02-04 06:00:00,1.0
USD_CAD,2016-02-01 06:00:00,2016-02-01 18:00:00,-1.0
