instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high
BCO_USD,mr_under_limit,atr_range_exp,H4,limit,1,2388,0.14032201089799307,1,0.020648990327014782,0.0998499898570441,0.18079403193894203,16096,0.17314221209902786,-0.03282020120103479,nan,1,0.020755107376602952,-0.0746509074119421,0.0032394831845754834
BCO_USD,mr_under_limit,atr_range_exp,H4,market,1,2388,-0.08902376900362378,1,0.020886196372730422,-0.1299607138941754,-0.048086824113072156,16096,-0.0696300445246591,-0.01939372447896469,nan,1,0.021404367137064235,-0.06511232977263953,0.016635160283021325
BCO_USD,mr_under_limit,bb_p20_2,H4,limit,1,919,0.1540305920140827,1,0.03645915845584386,0.08257064144062873,0.22549054258753667,16096,0.17314221209902786,-0.019111620084945158,nan,1,0.03292662974101835,-0.08680477766701424,0.04572686505810024
BCO_USD,mr_under_limit,bb_p20_2,H4,market,1,919,-0.09390889143004384,1,0.03657673770730359,-0.16559929733635886,-0.022218485523728806,16096,-0.0696300445246591,-0.024278846905384746,nan,1,0.031942478739243045,-0.08230500596479166,0.04509361454241394
BCO_USD,mr_under_limit,cci20_lt-100,H4,limit,1,3067,0.1622202807849519,1,0.020432804499890406,0.12217198396516671,0.2022685776047371,16096,0.17314221209902786,-0.010921931314075956,nan,1,0.016773715970108814,-0.03752906623037527,0.022342256019814113
BCO_USD,mr_under_limit,cci20_lt-100,H4,market,1,3067,-0.07825455586419013,1,0.020981668685357207,-0.11937862648749026,-0.03713048524089,16096,-0.0696300445246591,-0.00862451133953103,nan,1,0.01921361760501544,-0.04751918379889506,0.027246811357912015
BCO_USD,mr_under_limit,ema50_dist_low,H4,limit,1,4773,0.14066085535201917,1,0.016584160409861395,0.10815590094869083,0.1731658097553475,16096,0.17314221209902786,-0.032481356747008694,nan,1,0.016663168501423204,-0.06922191876386427,-0.0017821235123907239
BCO_USD,mr_under_limit,ema50_dist_low,H4,market,1,4773,-0.10683043642600054,1,0.017009931182098204,-0.14016990154291303,-0.07349097130908806,16096,-0.0696300445246591,-0.037200391901341445,nan,1,0.017821133992961365,-0.07493294853291953,-0.0026669699985626353
BCO_USD,mr_under_limit,macd_hist_low,H4,limit,1,1722,0.13967135715610707,1,0.027357696014624452,0.08605027296744314,0.193292441344771,16096,0.17314221209902786,-0.03347085494292079,nan,1,0.023610065790102323,-0.07805185484958371,0.008042583230815931
BCO_USD,mr_under_limit,macd_hist_low,H4,market,1,1722,-0.09943798383840918,1,0.0276686589614466,-0.15366855540284452,-0.045207412273973846,16096,-0.0696300445246591,-0.029807939313750087,nan,1,0.025053087504464968,-0.07863559905092568,0.016747938344531067
BCO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,807,0.17798797346131182,1,0.04003078418829403,0.09952763645225551,0.2564483104703681,16096,0.17314221209902786,0.004845761362283957,nan,1,0.034144380111834995,-0.06635465735685854,0.06809388573674272
BCO_USD,mr_under_limit,rsi14_lt30,H4,market,1,807,-0.05977112286639357,1,0.0403935770353712,-0.1389425338557211,0.019400288122933977,16096,-0.0696300445246591,0.009858921658265525,nan,1,0.03361946673950283,-0.05657018361438252,0.0699316393333494
BCO_USD,mr_under_limit,sma50_dist_low,H4,limit,1,5098,0.14115003364453452,1,0.01608953032484157,0.10961455420784504,0.17268551308122398,16096,0.17314221209902786,-0.03199217845449334,nan,1,0.017137090722017242,-0.0679097625732992,-0.003134795075429119
BCO_USD,mr_under_limit,sma50_dist_low,H4,market,1,5098,-0.10781700385621079,1,0.01655089487791088,-0.1402567578169161,-0.07537724989550547,16096,-0.0696300445246591,-0.038186959331551695,nan,1,0.016707799121008577,-0.07500258032862518,-0.010612450848389169
BCO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3130,0.19792666226165825,1,0.02016246841147779,0.1584082241751618,0.23744510034815472,16096,0.17314221209902786,0.024784450162630395,nan,1,0.02015034216618699,-0.013008752143157798,0.06117635541221333
